"Quel indice synthétique mesure la santé, le niveau d'éducation et le niveau de vie d'une population ?",L'Indice de Développement Humain (IDH).
Quels sont les trois domaines fondamentaux mesurés par l'IDH ?,"La santé, l'éducation et le niveau de vie."
Comment l'IDH mondial a-t-il évolué pour la première fois en 2020 et 2021 ?,Il a enregistré un déclin historique.
Définition : Sécurité humaine (Rapport 1994),"Capacité des individus à façonner leur vie à l'abri de la peur, du besoin et de l'indignité."
Quelles sont les deux caractéristiques principales d'un Bien Public Mondial (BPM) ?,La non-rivalité et la non-exclusivité de la consommation.
Concept : Non-rivalité,Le fait qu'une personne bénéficie d'un bien n'en réduit pas la disponibilité pour les autres.
Concept : Non-exclusivité,Il est impossible ou très difficile d'empêcher quiconque d'accéder aux bénéfices du bien.
Citez un exemple classique de bien public mondial immatériel mentionné dans le rapport du PNUD.,Le théorème de Pythagore.
Quelle sous-catégorie de biens publics mondiaux répond aux interdépendances planétaires impossibles à gérer aux frontières ?,Les biens publics planétaires.
Quelle organisation publie le Rapport sur le développement humain ?,Le Programme des Nations Unies pour le développement (PNUD).
"En 2020, quelle a été l'augmentation en pourcentage des cas de troubles dépressifs majeurs à cause de la pandémie ?",Une augmentation de $28\%$.
Quel terme décrit l'effet où l'existence des deepfakes permet aux menteurs de rejeter des preuves réelles ?,Le Dividende du Menteur (Liar's Dividend).
Quelle loi postule que l'énergie pour réfuter une idiotie est bien supérieure à celle pour la produire ?,La Loi de Brandolini (ou principe d'asymétrie du baratin).
Nommez la philosophie de commandement prussienne prônant la liberté tactique pour atteindre un objectif stratégique.,L'Auftragstaktik.
Comment Byung-Chul Han nomme-t-il le pouvoir qui gère les esprits via l'auto-exposition volontaire numérique ?,La Psychopolitique.
Quel modèle de Benjamin Bratton remplace la géographie politique par une architecture verticale en six couches ?,The Stack (L'Empilement).
Quelle unité du GRU russe est spécialisée dans les cyberattaques destructrices comme NotPetya ?,Sandworm (Unité 74455).
Quelle technique de Negative SEO associe une cible à des concepts toxiques dans le Knowledge Graph ?,L'Entity Poisoning (ou empoisonnement d'entité).
Que signifie l'acronyme GEO dans le contexte de l'évolution du SEO vers l'intelligence artificielle ?,Generative Engine Optimization.
"Dans le modèle ECP, comment appelle-t-on la validation juridique obtenue auprès du SPF Finances pour 5 ans ?",Une décision anticipée (ou ruling fiscal).
Quelle architecture de site web en silos vise à concentrer la puissance algorithmique vers une page cible ?,Le Cocon Sémantique.
Quel est le seuil de valeur pour qu'un pays soit classé en 'développement humain très élevé' ?,"Un IDH égal ou supérieur à $0,800$."
Quel est le seuil d'IDH pour la catégorie 'développement humain faible' ?,"Un IDH inférieur à $0,550$."
"Selon le rapport du PNUD, quel facteur détermine principalement la perception de la capacité d'agir ?",Le niveau de revenus.
L'érosion de quelles normes coïncide avec l'inversion de divers indicateurs sociaux mondiaux ?,Les normes et pratiques démocratiques.
Quel pays occupe la première place du classement mondial de l'IDH en 2022 ?,La Suisse.
Quel phénomène psychologique réduit la propension à coopérer en exagérant les différences entre groupes ?,La polarisation affective.
Combien de documents malveillants suffisent environ pour introduire un biais durable dans un LLM (Data Poisoning) ?,Environ 250 documents.
Quel concept fictif décrit l'organisation de son indexation pour être détecté par une cible précise ?,Le Lead-dexing.
Quelle coalition gouvernementale a porté la réforme du chômage de 2026 en Belgique ?,La coalition Arizona.
Quel journaliste de RTL-TVI a incarné le reportage 'Sans boulot : tous fraudeurs ?' ?,Christophe Deborsu.
Le projet miHonyPOT visait à démontrer quel aspect des navigateurs web ?,"Leur 'bavardise' et la vulnérabilité à la surveillance (exposition de l'IP, User-Agent)."
Quel terme de Joseph S. Nye désigne la capacité d'influencer par l'attraction plutôt que par la coercition ?,Le Soft Power.
Comment appelle-t-on la géopolitique de la connaissance et la lutte pour la domination de l'esprit ?,La Noopolitique.
Quel type de marketing déclenche des actions basées sur des événements spécifiques comme une levée de fonds ?,Le Trigger Marketing.
Quelle technique consiste à citer des influenceurs dans un contenu pour les inciter à le partager par fierté ?,L'Ego Baiting.
"Quelle est l'unité fondamentale du web sémantique composée d'un Sujet, d'un Verbe et d'un Objet ?",Le Triplet Sémantique (ou Triplet RDF).
L'IDH ajusté aux inégalités est désigné par quel acronyme ?,L'IDHI.
"Quel indice mesure les inégalités femmes-hommes dans la santé, l'autonomisation et le marché du travail ?",L'Indice d'Inégalité de Genre (IIG).
"Selon le PNUD, quel est l'impact des changements climatiques sur les inégalités de développement humain ?",Ils risquent d'entraîner une explosion des inégalités.
Quel est le montant des pertes mondiales de recettes fiscales dues au transfert de bénéfices vers les paradis fiscaux en 2022 ?,Jusqu'à $1\ 000$ milliards de dollars.
Quelle part de la population mondiale avait accès à Internet en 2023 ?,"Environ $5,4$ milliards de personnes."
Quel concept d'Amartya Sen définit le développement comme l'expansion des libertés réelles ?,Le développement par la liberté.
"Quel terme désigne l'état où un individu ne peut plus déterminer ce qui est vrai, menant au cynisme ?",L'insécurité épistémique.
"Dans la guerre cognitive, quel est le but ultime du GEO ?",Être la source unique citée dans la réponse synthétisée d'une IA.
Quelle plateforme du PNUD permet de visualiser les écarts de température futurs ?,Human Climate Horizons.
Quel type de coopération internationale est nécessaire pour fournir les biens publics mondiaux ?,L'action multilatérale.
L'_____ est une stratégie consistant à bloquer l'accès aux ressources pour forcer la coopération.,Action collective.
Quel pourcentage de la population africaine avait accès à Internet en 2023 ?,Seulement $37\%$.
Quel est l'objectif de la 'détermination créative' selon Nicole Hassoun ?,Remettre en question les limites perçues pour promouvoir le développement humain.
Quel accord international vise à réduire les émissions de gaz à effet de serre dans le transport maritime ?,La Convention MARPOL.
