Phase,Section,Champ,Label,Valeur
"META","Projet","name","Nom","Économie Contributive Provisionnée — Souveraineté Citoyenne"
"META","Projet","created","Créé","2026-01-26T01:47:57.820Z"
"META","Projet","updated","Modifié","2026-01-26T01:47:57.820Z"
"VOIR","Vision (Domino)","vision","Vision","D'ici fin 2027, obtenir un RULING FISCAL favorable du SDA validant le mécanisme de provisionnement différé de l'ECP, permettant aux 978 000 personnes en inactivité contrainte de contribuer SANS PERDRE leurs droits sociaux.

Objectif : Transformer 21-24 milliards €/an de dépenses passives en investissement actif via un projet pilote de 24 000 €."
"VOIR","Vision (Domino)","obstacles","Obstacles","JURIDIQUES : Absence de cadre dédié, risque de requalification ONSS, article 344 CIR 92
SOCIAUX : Perte BIM au premier euro, limitation chômage 24 mois
INSTITUTIONNELS : Coalition Arizona focalisée sur l'activation coercitive, services publics cloisonnés"
"VOIR","Vision (Domino)","ressources","Ressources","LOI VOLONTARIAT 2005 : plafond 1 692,51 € non imposable
SDA : procédure de ruling établie
RÉGIME VVPR-BIS : dividendes à taux réduit
INFRASTRUCTURE : Solid, FHIR, Decidim, Sensor.community
PARTENAIRES : Paradigm, Athumi, mutuelles, syndicats"
"VOIR","Profil Citoyen","motivations","Motivations","978 000 personnes en inactivité contrainte coûtent 21-24 Md€/an.
Le système INDEMNISE l'inactivité mais PÉNALISE la contribution.
Taux marginal > 100% pour les précaires = désincitation structurelle.

L'ECP propose de transformer cette dépense passive en investissement actif."
"VOIR","Profil Citoyen","competences","Compétences","JURIDIQUE : Ruling fiscal, droit social, volontariat
TECHNIQUE : Solid, FHIR, Git Scraping
MOBILISATION : Éducation permanente, vulgarisation
ANALYSE : Veille législative, études d'impact"
"VOIR","Profil Citoyen","temps","Temps disponible","Noyau dur : 3-5 personnes à mi-temps
Réseau élargi : 20-30 contributeurs ponctuels

T1 2026 : Dépôt ruling
T2 2026 : Projet pilote ARC
T4 2026 : Décision SDA attendue"
"VOIR","Profil Citoyen","limites","Limites","Budget : 24 000 € seulement
Pas d'accès direct aux cabinets ministériels
Documentation principalement francophone
Risque de ruling défavorable"
"VOIR","Fleur du Pouvoir","identites","Identités","Malades longue durée (500 000+) : burnout, TMS, chroniques
Chômeurs longue durée : 50-55 ans, ex-industriels
Étudiants précarisés : 58% insécurité alimentaire
Aidants proches : travail de care invisible"
"VOIR","Fleur du Pouvoir","privileges","Privilèges","Capital intellectuel et juridique
Réseau académique et tech
Maîtrise des standards (Solid, FHIR)
Autonomie organisationnelle"
"VOIR","Fleur du Pouvoir","oppressions","Oppressions","Violence administrative : taux marginal > 100%, perte BIM
Violence symbolique : discours « profiteurs »
Violence économique : désincitation à l'activité
Exclusion institutionnelle : système binaire inadapté"
"JUGER","Acteurs","acteur_0","Service des Décisions Anticipées (SDA)","Position: target, Pouvoir: 5/5, Rôle: Organe du SPF Finances — Autorité de délivrance des rulings"
"JUGER","Acteurs","acteur_1","SPF Finances","Position: neutral, Pouvoir: 5/5, Rôle: Administration fiscale fédérale"
"JUGER","Acteurs","acteur_2","ONSS","Position: neutral, Pouvoir: 5/5, Rôle: Office National de Sécurité Sociale — Requalification salariale"
"JUGER","Acteurs","acteur_3","Cabinet Vandenbroucke","Position: neutral, Pouvoir: 5/5, Rôle: Ministre Affaires Sociales (Vooruit)"
"JUGER","Acteurs","acteur_4","Paradigm","Position: ally, Pouvoir: 3/5, Rôle: Gestionnaire données Bruxelles — Infrastructure Solid"
"JUGER","Acteurs","acteur_5","Athumi","Position: ally, Pouvoir: 3/5, Rôle: Gestionnaire données Flandre — Infrastructure Solid"
"JUGER","Acteurs","acteur_6","Solidaris","Position: ally, Pouvoir: 3/5, Rôle: Mutualité socialiste — Expertise santé"
"JUGER","Acteurs","acteur_7","FGTB","Position: ally, Pouvoir: 4/5, Rôle: Syndicat socialiste — Services juridiques"
"JUGER","Acteurs","acteur_8","CSC","Position: ally, Pouvoir: 4/5, Rôle: Syndicat chrétien — Réseau et mobilisation"
"JUGER","Acteurs","acteur_9","DULBEA (ULB)","Position: ally, Pouvoir: 2/5, Rôle: Centre recherche économique — Caution académique"
"JUGER","Arbre à Problèmes","probleme","Problème central","Le « PIÈGE INSTITUTIONNEL » belge maintient 978 000 personnes dans une INACTIVITÉ CONTRAINTE coûtant 21-24 milliards €/an, tout en PÉNALISANT toute tentative de contribution citoyenne."
"JUGER","Arbre à Problèmes","causes","Causes","• Absence de statut juridique pour les formes hybrides de contribution
• Conception binaire du marché du travail (CDI ou inactif)
• Cloisonnement administratif (SPF, ONSS, ONEM, INAMI)
• Mécanismes de dégressivité brutaux (perte BIM au premier euro)
• Idéologie d'activation coercitive privilégiant la sanction"
"JUGER","Arbre à Problèmes","consequences","Conséquences","• 978 000 personnes maintenues dans l'inactivité contrainte
• Coût annuel de 21-24 milliards € en dépenses passives
• Déficit sécurité sociale 2024 : 18,2 Md€
• Perte de compétences et capital humain
• Cercle vicieux : inactivité → dégradation santé → incapacité"
